Date,Region,Product,Quantity,UnitPrice,StoreLocation,CustomerType,Discount,Salesperson,TotalPrice,PaymentMethod,Promotion,Returned,OrderID,CustomerName,ShippingCost,OrderDate,DeliveryDate,RegionManager
2024-05-28,Central,Desk,11,573.14,Store D,Retail,0.05,Diana,5989.313,Cash,SAVE10,0,REG100017,Cust 8014,34.71,2024-05-28,2024-06-01,Cameron
2023-11-30,East,Phone,20,519.04,Store B,Retail,0.15,Carlos,8823.68,Gift Card,FREESHIP,0,REG100018,Cust 1228,19.43,2023-11-30,2023-12-08,Eric
2023-06-22,West,Desk,14,30.83,Store B,Retail,0,Carlos,431.62,Online,WINTER15,1,REG100019,Cust 4247,7.1,2023-06-22,2023-07-02,Wendy
2025-06-05,West,Phone,10,319.05,Store D,Wholesale,0,Diana,3190.5,Online,,0,REG100020,Cust 4199,28.43,2025-06-05,2025-06-08,Wendy
2023-03-03,Central,Chair,14,312.79,Store A,Retail,0.05,Bob,4160.107,Online,,1,REG100021,Cust 4186,46.83,2023-03-03,2023-03-08,Cameron
2024-02-18,North,Laptop,14,395.45,Store C,Retail,0,Carlos,5536.3,Cash,FREESHIP,1,REG100022,Cust 8137,36.45,2024-02-18,2024-02-22,Ryan
2023-08-06,Central,Laptop,12,472.72,Store D,Retail,0.15,Diana,4821.744,Credit Card,,0,REG100023,Cust 4638,27.97,2023-08-06,2023-08-14,Cameron
2024-05-23,North,Desk,5,288.01,Store A,Wholesale,0,Eva,1440.05,Credit Card,FREESHIP,0,REG100024,Cust 8538,46.69,2024-05-23,2024-05-30,Ryan
2023-10-23,East,Phone,13,562.29,Store D,Retail,0,Diana,7309.77,Gift Card,SAVE10,0,REG100025,Cust 6322,38.13,2023-10-23,2023-10-28,Eric
2025-06-16,West,Phone,1,101.73,Store D,Retail,0,Frank,101.73,Debit Card,WINTER15,0,REG100026,Cust 2609,11.59,2025-06-16,2025-06-25,Wendy
2023-03-03,North,Phone,4,279.49,Store B,Retail,0,Diana,1117.96,Credit Card,FREESHIP,0,REG100027,Cust 6880,24.78,2023-03-03,2023-03-08,Ryan
2024-11-18,South,Laptop,1,178.55,Store A,Retail,0.15,Carlos,151.7675,Debit Card,SAVE10,1,REG100028,Cust 1997,7.61,2024-11-18,2024-11-21,Sophie
2023-05-09,Central,Tablet,1,472.07,Store A,Wholesale,0.1,Carlos,424.863,Online,FREESHIP,0,REG100029,Cust 7072,33.17,2023-05-09,2023-05-17,Cameron
2024-12-07,North,Tablet,12,306.29,Store D,Retail,0,Frank,3675.48,Debit Card,SAVE10,0,REG100030,Cust 7201,37.38,2024-12-07,2024-12-14,Ryan
2024-02-13,North,Phone,7,434.77,Store C,Retail,0.15,Frank,2586.8815,Online,SAVE10,0,REG100031,Cust 9923,12.35,2024-02-13,2024-02-15,Ryan
2025-03-09,South,Desk,6,64.98,Store C,Retail,0,Carlos,389.88,Debit Card,WINTER15,0,REG100032,Cust 2205,21.25,2025-03-09,2025-03-15,Sophie
2023-04-05,Central,Desk,17,476.49,Store D,Retail,0,Alice,8100.33,Gift Card,,0,REG100033,Cust 6403,17.91,2023-04-05,2023-04-11,Cameron
2025-05-08,North,Monitor,4,559.72,Store D,Retail,0.15,Diana,1903.048,Online,SAVE10,0,REG100034,Cust 3953,41.91,2025-05-08,2025-05-12,Ryan
2023-09-03,North,Tablet,14,82.14,Store C,Retail,0,Alice,1149.96,Credit Card,,0,REG100035,Cust 7902,12.57,2023-09-03,2023-09-11,Ryan
2025-03-21,Central,Chair,9,343.21,Store A,Retail,0.05,Carlos,2934.4455,Debit Card,FREESHIP,0,REG100036,Cust 9968,40.29,2025-03-21,2025-03-28,Cameron
2025-06-20,South,Chair,7,301.01,Store B,Retail,0.15,Diana,1791.0095,Cash,SAVE10,1,REG100037,Cust 3787,34.97,2025-06-20,2025-06-30,Sophie
2024-02-15,Central,Printer,14,428.13,Store C,Retail,0.1,Bob,5394.438,Cash,,1,REG100038,Cust 2469,24.77,2024-02-15,2024-02-25,Cameron
2023-06-09,Central,Laptop,2,503.28,Store D,Retail,0.15,Alice,855.576,Gift Card,,0,REG100039,Cust 6468,34.79,2023-06-09,2023-06-17,Cameron
2023-08-10,South,Printer,5,470.32,Store A,Retail,0.1,Eva,2116.44,Debit Card,SAVE10,0,REG100040,Cust 5312,17.77,2023-08-10,2023-08-14,Sophie
2024-06-16,Central,Printer,20,65.17,Store C,Wholesale,0.05,Eva,1238.23,Gift Card,FREESHIP,0,REG100041,Cust 1482,21.72,2024-06-16,2024-06-25,Cameron
2023-07-23,South,Laptop,12,36.17,Store A,Retail,0,Eva,434.04,Online,WINTER15,0,REG100042,Cust 7903,34.85,2023-07-23,2023-07-26,Sophie
2023-05-20,Central,Printer,4,459.31,Store D,Wholesale,0.15,Carlos,1561.654,Gift Card,WINTER15,1,REG100043,Cust 9605,27.39,2023-05-20,2023-05-27,Cameron
2023-06-30,South,Laptop,2,416.06,Store D,Retail,0.05,Eva,790.514,Debit Card,SAVE10,0,REG100044,Cust 3298,11.62,2023-06-30,2023-07-04,Sophie
2024-06-04,South,Tablet,16,302.58,Store D,Retail,0,Alice,4841.28,Online,WINTER15,1,REG100045,Cust 5533,20.76,2024-06-04,2024-06-14,Sophie
2025-02-03,West,Chair,11,33.13,Store A,Retail,0.15,Frank,309.7655,Online,FREESHIP,0,REG100046,Cust 6362,24.95,2025-02-03,2025-02-05,Wendy
2024-01-09,East,Tablet,8,582.52,Store D,Retail,0.15,Frank,3961.136,Gift Card,WINTER15,0,REG100047,Cust 4826,6.47,2024-01-09,2024-01-13,Eric
2024-03-14,North,Desk,5,165.15,Store A,Retail,0.1,Eva,743.175,Gift Card,,0,REG100048,Cust 2171,20.57,2024-03-14,2024-03-16,Ryan
2024-09-06,West,Monitor,14,242.82,Store D,Wholesale,0.15,Alice,2889.558,Cash,WINTER15,1,REG100049,Cust 4005,20.71,2024-09-06,2024-09-13,Wendy
2023-03-17,East,Monitor,13,65.99,Store A,Wholesale,0.1,Frank,772.083,Cash,WINTER15,0,REG100050,Cust 7032,12.87,2023-03-17,2023-03-20,Eric
2025-01-17,West,Chair,2,251.69,Store C,Wholesale,0,Alice,503.38,Debit Card,FREESHIP,0,REG100051,Cust 7167,42.49,2025-01-17,2025-01-24,Wendy
2024-09-12,South,Laptop,1,269.41,Store B,Wholesale,0.1,Eva,242.469,Cash,WINTER15,1,REG100052,Cust 5702,19.22,2024-09-12,2024-09-18,Sophie
2024-01-05,South,Monitor,2,371.3,Store B,Wholesale,0.05,Bob,705.47,Credit Card,SAVE10,0,REG100053,Cust 4944,36.51,2024-01-05,2024-01-15,Sophie
2024-04-19,West,Tablet,11,288.24,Store A,Wholesale,0.15,Diana,2695.044,Online,,0,REG100054,Cust 8149,37.39,2024-04-19,2024-04-25,Wendy
2025-06-11,Central,Tablet,11,232.75,Store D,Wholesale,0.05,Eva,2432.2375,Credit Card,SAVE10,0,REG100055,Cust 3638,36.33,2025-06-11,2025-06-21,Cameron
2025-03-06,East,Phone,17,146.28,Store B,Retail,0.15,Carlos,2113.746,Cash,SAVE10,0,REG100056,Cust 9973,7.84,2025-03-06,2025-03-15,Eric
2023-05-24,East,Chair,5,100.38,Store C,Retail,0.1,Eva,451.71,Gift Card,WINTER15,1,REG100057,Cust 4214,18.35,2023-05-24,2023-05-26,Eric
2023-01-27,South,Phone,11,375.48,Store B,Retail,0.05,Bob,3923.766,Debit Card,WINTER15,0,REG100058,Cust 2647,15.95,2023-01-27,2023-02-03,Sophie
2024-03-21,South,Laptop,18,316.89,Store B,Wholesale,0.05,Bob,5418.819,Cash,FREESHIP,0,REG100059,Cust 3552,15.69,2024-03-21,2024-03-27,Sophie
2025-01-25,West,Laptop,20,295.06,Store D,Retail,0.15,Frank,5016.02,Online,SAVE10,1,REG100060,Cust 3354,13.66,2025-01-25,2025-01-31,Wendy
2023-06-12,Central,Phone,8,301.68,Store D,Retail,0,Eva,2413.44,Cash,SAVE10,0,REG100061,Cust 3903,36.54,2023-06-12,2023-06-21,Cameron
2025-03-22,Central,Chair,3,475.39,Store B,Retail,0.1,Alice,1283.553,Gift Card,,0,REG100062,Cust 5358,15.62,2025-03-22,2025-03-26,Cameron
2024-02-24,Central,Desk,16,47.25,Store D,Retail,0.15,Bob,642.6,Debit Card,FREESHIP,0,REG100063,Cust 8144,29.5,2024-02-24,2024-02-27,Cameron
2023-12-09,South,Chair,15,511.17,Store B,Wholesale,0,Frank,7667.55,Online,FREESHIP,0,REG100064,Cust 6747,21.77,2023-12-09,2023-12-12,Sophie
2023-10-01,Central,Monitor,3,66.58,Store B,Retail,0.1,Frank,179.766,Debit Card,FREESHIP,0,REG100065,Cust 8330,22.43,2023-10-01,2023-10-05,Cameron
2023-07-31,West,Tablet,5,490.52,Store D,Wholesale,0.05,Frank,2329.97,Online,,0,REG100066,Cust 7186,12.24,2023-07-31,2023-08-07,Wendy
2024-12-24,South,Chair,8,405.96,Store A,Wholesale,0.05,Carlos,3085.296,Credit Card,WINTER15,0,REG100067,Cust 8287,41.27,2024-12-24,2024-12-31,Sophie
2024-11-15,North,Phone,1,159.41,Store B,Retail,0.1,Bob,143.469,Credit Card,FREESHIP,0,REG100068,Cust 3986,35.14,2024-11-15,2024-11-19,Ryan
2025-03-13,West,Monitor,16,38.49,Store C,Retail,0.15,Carlos,523.464,Debit Card,SAVE10,0,REG100069,Cust 3213,8.38,2025-03-13,2025-03-22,Wendy
2024-03-03,East,Tablet,15,328.36,Store D,Retail,0.15,Alice,4186.59,Gift Card,WINTER15,0,REG100070,Cust 1907,15.76,2024-03-03,2024-03-12,Eric
2023-02-11,Central,Tablet,20,548.01,Store A,Wholesale,0.1,Eva,9864.18,Credit Card,WINTER15,1,REG100071,Cust 4639,5.89,2023-02-11,2023-02-14,Cameron
2023-10-26,South,Desk,13,484.45,Store B,Wholesale,0.05,Carlos,5982.9575,Gift Card,WINTER15,1,REG100072,Cust 4153,6.57,2023-10-26,2023-11-05,Sophie
2023-10-21,South,Monitor,13,195.84,Store A,Wholesale,0.05,Alice,2418.624,Credit Card,,0,REG100073,Cust 7096,33.52,2023-10-21,2023-10-28,Sophie
2024-01-14,Central,Tablet,19,29.94,Store D,Retail,0.15,Diana,483.531,Debit Card,FREESHIP,0,REG100074,Cust 3806,33.59,2024-01-14,2024-01-20,Cameron
2023-07-27,Central,Desk,10,553.91,Store D,Wholesale,0.1,Eva,4985.19,Online,,0,REG100075,Cust 9345,31.3,2023-07-27,2023-07-31,Cameron
2024-10-23,South,Phone,14,445.52,Store B,Retail,0.1,Bob,5613.552,Online,SAVE10,0,REG100076,Cust 4456,14.41,2024-10-23,2024-10-25,Sophie
2023-09-26,South,Chair,5,551.58,Store B,Retail,0.15,Alice,2344.215,Online,WINTER15,1,REG100077,Cust 1089,7.87,2023-09-26,2023-10-01,Sophie
2023-12-16,East,Phone,13,241.4,Store D,Retail,0,Carlos,3138.2,Gift Card,SAVE10,0,REG100078,Cust 7230,49.05,2023-12-16,2023-12-20,Eric
2024-01-02,Central,Printer,19,351.93,Store A,Wholesale,0,Alice,6686.67,Credit Card,,0,REG100079,Cust 6597,39.98,2024-01-02,2024-01-05,Cameron
2024-02-16,North,Phone,4,83.75,Store A,Retail,0.05,Alice,318.25,Debit Card,SAVE10,1,REG100080,Cust 4108,38.82,2024-02-16,2024-02-25,Ryan
2024-05-03,East,Monitor,5,416.95,Store A,Wholesale,0.15,Frank,1772.0375,Online,,1,REG100081,Cust 2883,24.03,2024-05-03,2024-05-12,Eric
2023-05-27,West,Monitor,18,142.43,Store C,Retail,0.05,Bob,2435.553,Credit Card,SAVE10,1,REG100082,Cust 5018,12.38,2023-05-27,2023-06-02,Wendy
2023-01-05,East,Desk,12,582.52,Store A,Wholesale,0,Bob,6990.24,Credit Card,FREESHIP,0,REG100083,Cust 1231,41.16,2023-01-05,2023-01-11,Eric
2025-05-21,East,Chair,20,129.56,Store A,Retail,0.15,Diana,2202.52,Online,WINTER15,0,REG100084,Cust 2209,40.21,2025-05-21,2025-05-23,Eric
2023-07-21,Central,Tablet,17,431.82,Store B,Retail,0,Eva,7340.94,Gift Card,FREESHIP,1,REG100085,Cust 6684,37.75,2023-07-21,2023-07-25,Cameron
2025-05-25,East,Laptop,15,15.85,Store C,Retail,0,Bob,237.75,Debit Card,WINTER15,0,REG100086,Cust 5289,23.49,2025-05-25,2025-06-03,Eric
2024-11-16,South,Tablet,20,548.34,Store B,Retail,0.1,Bob,9870.12,Gift Card,WINTER15,0,REG100087,Cust 9159,33.47,2024-11-16,2024-11-22,Sophie
2023-11-19,North,Laptop,16,525.83,Store C,Wholesale,0.05,Frank,7992.616,Online,,0,REG100088,Cust 4844,36.47,2023-11-19,2023-11-25,Ryan
2025-01-12,Central,Laptop,15,411.38,Store A,Wholesale,0.05,Bob,5862.165,Online,SAVE10,0,REG100089,Cust 3273,48.51,2025-01-12,2025-01-21,Cameron
2023-03-29,North,Monitor,19,559.95,Store A,Wholesale,0.1,Carlos,9575.145,Credit Card,WINTER15,0,REG100090,Cust 8160,18.3,2023-03-29,2023-04-03,Ryan
2025-03-01,North,Desk,8,179.9,Store C,Retail,0.05,Carlos,1367.24,Online,SAVE10,0,REG100091,Cust 4439,14.8,2025-03-01,2025-03-05,Ryan
2023-10-18,North,Chair,12,494.15,Store B,Wholesale,0.15,Diana,5040.33,Online,SAVE10,1,REG100092,Cust 1127,18.05,2023-10-18,2023-10-20,Ryan
2025-04-13,East,Desk,10,462.99,Store C,Wholesale,0,Bob,4629.9,Credit Card,WINTER15,0,REG100093,Cust 4696,5.01,2025-04-13,2025-04-15,Eric
2025-05-13,Central,Laptop,7,460.24,Store A,Retail,0.05,Alice,3060.596,Cash,SAVE10,1,REG100094,Cust 3014,11.54,2025-05-13,2025-05-23,Cameron
2024-04-21,West,Printer,17,309.52,Store B,Wholesale,0.05,Eva,4998.748,Online,FREESHIP,0,REG100095,Cust 2539,6.11,2024-04-21,2024-04-27,Wendy
2025-01-31,Central,Monitor,1,323.83,Store B,Wholesale,0.05,Eva,307.6385,Credit Card,WINTER15,0,REG100096,Cust 3916,27.48,2025-01-31,2025-02-08,Cameron
2025-03-14,Central,Chair,10,503.07,Store C,Retail,0,Bob,5030.7,Credit Card,FREESHIP,0,REG100097,Cust 6329,44.61,2025-03-14,2025-03-19,Cameron
2024-05-26,West,Laptop,20,491.68,Store D,Wholesale,0.15,Alice,8358.56,Online,SAVE10,1,REG100098,Cust 4384,43.46,2024-05-26,2024-05-29,Wendy
2023-07-22,North,Phone,17,468.45,Store A,Retail,0.05,Carlos,7565.4675,Credit Card,FREESHIP,0,REG100099,Cust 7756,17.88,2023-07-22,2023-07-26,Ryan
2024-03-21,North,Laptop,11,401.76,Store D,Retail,0.15,Frank,3756.456,Gift Card,SAVE10,0,REG100100,Cust 6086,48.03,2024-03-21,2024-03-30,Ryan
2023-04-05,West,Printer,3,221,Store B,Wholesale,0,Frank,663,Cash,FREESHIP,0,REG100101,Cust 3845,32.31,2023-04-05,2023-04-08,Wendy
2024-08-26,East,Monitor,6,188.45,Store C,Wholesale,0.05,Alice,1074.165,Gift Card,,0,REG100102,Cust 9996,6.77,2024-08-26,2024-09-01,Eric
2024-07-07,North,Desk,3,566.2,Store D,Retail,0,Bob,1698.6,Gift Card,FREESHIP,1,REG100103,Cust 1711,28.97,2024-07-07,2024-07-17,Ryan
2023-09-29,East,Monitor,14,167.09,Store D,Retail,0.05,Alice,2222.297,Gift Card,SAVE10,1,REG100104,Cust 4522,47.05,2023-09-29,2023-10-08,Eric
2023-10-04,West,Monitor,16,36.16,Store C,Wholesale,0.1,Carlos,520.704,Debit Card,FREESHIP,0,REG100105,Cust 4233,26.64,2023-10-04,2023-10-11,Wendy
2025-06-09,Central,Printer,2,73.94,Store B,Wholesale,0.05,Carlos,140.486,Debit Card,SAVE10,0,REG100106,Cust 4121,28.05,2025-06-09,2025-06-16,Cameron
2025-06-12,East,Printer,16,459.49,Store A,Wholesale,0.1,Eva,6616.656,Online,SAVE10,0,REG100107,Cust 9092,26.99,2025-06-12,2025-06-14,Eric
2024-06-29,East,Chair,3,168.05,Store A,Retail,0,Carlos,504.15,Cash,,1,REG100108,Cust 9090,21.08,2024-06-29,2024-07-06,Eric
2024-03-23,North,Printer,14,37.54,Store B,Retail,0.15,Alice,446.726,Credit Card,,1,REG100109,Cust 1983,49.6,2024-03-23,2024-04-02,Ryan
2024-07-14,South,Tablet,4,151.16,Store B,Wholesale,0,Alice,604.64,Gift Card,SAVE10,1,REG100110,Cust 8834,41.4,2024-07-14,2024-07-21,Sophie
2024-03-15,South,Tablet,17,78.58,Store A,Wholesale,0.1,Bob,1202.274,Gift Card,WINTER15,0,REG100111,Cust 9780,8.02,2024-03-15,2024-03-25,Sophie
2025-04-19,Central,Chair,15,37.33,Store B,Retail,0.05,Carlos,531.9525,Cash,,1,REG100112,Cust 1293,43.69,2025-04-19,2025-04-24,Cameron
2024-02-15,West,Tablet,18,537.02,Store A,Wholesale,0.15,Carlos,8216.406,Debit Card,SAVE10,0,REG100113,Cust 3173,23.94,2024-02-15,2024-02-20,Wendy
2024-01-25,East,Desk,5,215.6,Store C,Wholesale,0,Frank,1078,Online,WINTER15,0,REG100114,Cust 8641,28.36,2024-01-25,2024-02-04,Eric
2025-04-15,Central,Laptop,18,209.5,Store D,Wholesale,0,Carlos,3771,Credit Card,FREESHIP,0,REG100115,Cust 7656,38.23,2025-04-15,2025-04-23,Cameron
2025-04-15,Central,Chair,8,348.98,Store A,Retail,0.1,Frank,2512.656,Online,FREESHIP,0,REG100116,Cust 5523,19.17,2025-04-15,2025-04-20,Cameron
2024-08-11,West,Printer,2,289.14,Store C,Retail,0.05,Diana,549.366,Online,SAVE10,0,REG100117,Cust 2015,5.13,2024-08-11,2024-08-13,Wendy
2023-12-01,South,Desk,5,396.93,Store B,Wholesale,0,Diana,1984.65,Credit Card,FREESHIP,0,REG100118,Cust 6895,48.63,2023-12-01,2023-12-08,Sophie
2023-08-06,Central,Laptop,10,508.57,Store D,Retail,0.05,Bob,4831.415,Online,SAVE10,0,REG100119,Cust 1797,9.35,2023-08-06,2023-08-11,Cameron
2024-01-24,Central,Laptop,11,259.61,Store C,Wholesale,0.1,Carlos,2570.139,Cash,FREESHIP,0,REG100120,Cust 9969,13.73,2024-01-24,2024-01-31,Cameron
2024-03-07,Central,Chair,9,313.29,Store D,Retail,0,Carlos,2819.61,Online,FREESHIP,0,REG100121,Cust 1815,14.04,2024-03-07,2024-03-13,Cameron
2024-01-22,South,Tablet,5,106.57,Store C,Wholesale,0.1,Carlos,479.565,Debit Card,SAVE10,1,REG100122,Cust 7773,25.24,2024-01-22,2024-01-28,Sophie
2023-02-23,East,Printer,1,109,Store B,Retail,0.15,Frank,92.65,Cash,WINTER15,1,REG100123,Cust 1499,8.03,2023-02-23,2023-02-27,Eric
2023-06-14,North,Tablet,8,323.8,Store B,Retail,0,Diana,2590.4,Cash,SAVE10,1,REG100124,Cust 3809,35.23,2023-06-14,2023-06-22,Ryan
2025-05-13,North,Laptop,16,384.32,Store A,Retail,0.05,Frank,5841.664,Cash,FREESHIP,0,REG100125,Cust 7824,21.5,2025-05-13,2025-05-15,Ryan
2024-07-30,Central,Printer,16,163.86,Store C,Retail,0.15,Diana,2228.496,Gift Card,FREESHIP,0,REG100126,Cust 7258,37.95,2024-07-30,2024-08-06,Cameron
2024-07-18,East,Tablet,5,23.41,Store B,Wholesale,0,Frank,117.05,Credit Card,WINTER15,0,REG100127,Cust 1151,26.44,2024-07-18,2024-07-27,Eric
2024-08-26,East,Printer,20,488.9,Store C,Wholesale,0.15,Eva,8311.3,Gift Card,FREESHIP,0,REG100128,Cust 6486,21.77,2024-08-26,2024-09-01,Eric
2025-06-08,West,Tablet,7,452.56,Store A,Wholesale,0.05,Frank,3009.524,Gift Card,FREESHIP,0,REG100129,Cust 4034,46.97,2025-06-08,2025-06-15,Wendy
2025-05-16,North,Desk,11,465.24,Store A,Wholesale,0,Carlos,5117.64,Debit Card,,1,REG100130,Cust 9794,17.59,2025-05-16,2025-05-23,Ryan
2024-07-18,East,Phone,14,442.65,Store B,Retail,0,Eva,6197.1,Gift Card,SAVE10,0,REG100131,Cust 2414,28.76,2024-07-18,2024-07-24,Eric
2023-09-17,West,Laptop,12,469.44,Store B,Wholesale,0,Bob,5633.28,Online,FREESHIP,0,REG100132,Cust 9024,33.3,2023-09-17,2023-09-26,Wendy
2023-03-13,East,Monitor,14,248.77,Store C,Wholesale,0.05,Bob,3308.641,Debit Card,FREESHIP,1,REG100133,Cust 2663,21.76,2023-03-13,2023-03-19,Eric
2023-03-29,South,Chair,4,565.29,Store D,Wholesale,0.05,Alice,2148.102,Cash,,0,REG100134,Cust 2293,27.04,2023-03-29,2023-04-03,Sophie
2023-07-14,Central,Desk,12,244.8,Store B,Wholesale,0.05,Frank,2790.72,Online,FREESHIP,0,REG100135,Cust 8963,44.75,2023-07-14,2023-07-23,Cameron
2024-03-22,West,Laptop,13,290.93,Store C,Retail,0.05,Diana,3592.9855,Credit Card,FREESHIP,0,REG100136,Cust 9238,26.09,2024-03-22,2024-03-31,Wendy
2024-05-14,Central,Laptop,11,229.49,Store C,Retail,0.1,Bob,2271.951,Cash,,0,REG100137,Cust 1390,35.39,2024-05-14,2024-05-17,Cameron
2023-05-30,Central,Monitor,2,427.36,Store A,Wholesale,0.05,Diana,811.984,Online,SAVE10,0,REG100138,Cust 8548,19.42,2023-05-30,2023-06-02,Cameron
2023-03-19,North,Phone,2,443.51,Store C,Wholesale,0.05,Alice,842.669,Cash,,0,REG100139,Cust 2919,13.65,2023-03-19,2023-03-22,Ryan
2023-08-09,Central,Desk,13,280.63,Store B,Wholesale,0.15,Alice,3100.9615,Credit Card,SAVE10,0,REG100140,Cust 5847,10.14,2023-08-09,2023-08-14,Cameron
2024-10-13,North,Chair,13,416.66,Store B,Wholesale,0.15,Bob,4604.093,Credit Card,WINTER15,0,REG100141,Cust 5711,21.74,2024-10-13,2024-10-20,Ryan
2025-02-17,East,Chair,11,589.48,Store B,Retail,0,Alice,6484.28,Online,WINTER15,0,REG100142,Cust 5461,49.93,2025-02-17,2025-02-25,Eric
2025-06-11,North,Phone,18,152.84,Store C,Retail,0.15,Diana,2338.452,Debit Card,FREESHIP,1,REG100143,Cust 8905,20.3,2025-06-11,2025-06-20,Ryan
2024-04-29,Central,Tablet,4,163.66,Store B,Retail,0,Bob,654.64,Gift Card,WINTER15,1,REG100144,Cust 9618,31.8,2024-04-29,2024-05-01,Cameron
2023-03-18,West,Laptop,19,484.25,Store C,Wholesale,0.15,Bob,7820.6375,Debit Card,FREESHIP,1,REG100145,Cust 5203,29.51,2023-03-18,2023-03-20,Wendy
2024-12-21,North,Chair,9,380.4,Store B,Retail,0.1,Carlos,3081.24,Credit Card,,0,REG100146,Cust 1732,31,2024-12-21,2024-12-27,Ryan
2023-04-23,West,Chair,17,332.38,Store A,Retail,0.1,Frank,5085.414,Credit Card,SAVE10,1,REG100147,Cust 4734,33.81,2023-04-23,2023-05-02,Wendy
2025-05-11,Central,Chair,15,210.94,Store C,Wholesale,0.05,Frank,3005.895,Online,SAVE10,0,REG100148,Cust 5895,10.91,2025-05-11,2025-05-21,Cameron
2024-03-03,South,Phone,9,382.8,Store D,Wholesale,0,Eva,3445.2,Cash,,0,REG100149,Cust 9691,47.94,2024-03-03,2024-03-05,Sophie
2025-01-20,North,Monitor,3,386.29,Store C,Retail,0.15,Carlos,985.0395,Credit Card,FREESHIP,0,REG100150,Cust 5406,32.45,2025-01-20,2025-01-30,Ryan
2025-03-22,North,Tablet,5,225.99,Store C,Retail,0,Eva,1129.95,Online,SAVE10,1,REG100151,Cust 5750,10.88,2025-03-22,2025-03-30,Ryan
2025-03-28,South,Printer,20,312.56,Store D,Retail,0.15,Frank,5313.52,Gift Card,WINTER15,0,REG100152,Cust 6506,47.39,2025-03-28,2025-03-30,Sophie
2025-02-17,North,Phone,13,433.77,Store C,Wholesale,0.05,Frank,5357.0595,Cash,FREESHIP,0,REG100153,Cust 8280,17.61,2025-02-17,2025-02-21,Ryan
2024-11-08,South,Tablet,20,159.33,Store A,Wholesale,0,Eva,3186.6,Online,FREESHIP,0,REG100154,Cust 4358,26.32,2024-11-08,2024-11-11,Sophie
2024-03-17,South,Phone,18,32.23,Store B,Retail,0.05,Bob,551.133,Credit Card,FREESHIP,0,REG100155,Cust 3588,6.04,2024-03-17,2024-03-21,Sophie
